[스마트팜] SW코딩자격취득 교육생 모집 (기한: 2019.9.27.(금) 18시까지),19.09.17,285,
[SW중심대학] 2019-2학기 학부생 연구실 인턴 모집,19.09.16,759,
[SW중심대학] 2019 유성구청 청소년나Be한마당 체험부스 운영 도우미 학생 모집,19.09.10,429,
[SW중심대학] 2019학년도 2학기 학부생 튜터 선발 안내(~9/6),19.08.30,937,
[SW중심대학] 2019-1학기 우수TA 시상식 및 TA설명회 안내,19.08.29,206,
[SW중심대학] 2019학년도 2학기 교육조교(TA) 선발 및 서류제출 안내(~9/4),19.08.27,443,
[SW중심대학] 2019년 8월 TA복무활동보고서 제출 안내(제출 기간 8월26일~9월3일),19.08.27,191,
[SW중심대학] 제1회 Bottom Up 프로젝트 경진대회 개최 (8/23),19.08.21,267,
[SW중심대학] 알고리즘 특강 안내,19.08.20,372,
[SW중심대학]모각코 회고 발표 안내,19.08.13,223,
[SW중심대학] 제1회 Bottom Up 프로젝트 경진대회 최종보고서 제출 안내 (기한 ~8.19.(월) 18시 마감),19.08.13,276,
[KAIST SW교육센터] TOPCIT 스터디 멤버 모집 안내,19.08.06,255,
[SW중심대학] 2019년 7월 TA복무활동보고서 제출 안내(제출 기간 7월31일~8월7일),19.07.30,199,
[SW중심대학] AI STARTHON(스타톤) 2019 안내,19.07.16,328,
[SW중심대학] 인프런 동영상 강의 수강 지원 안내,19.07.16,334,
[SW중심대학] 2019년 5월 TA 튜터 복무활동보고서 제출 안내(제출 기간 7월1일~7월5일),19.06.28,273,
[SW중심대학] [네이버 커넥트재단] 부스트캠프 2019 참가자 모집 안내 (~7/3까지),19.06.25,236,
[SW중심대학] 제1회 Bottom Up 프로젝트 경진대회 계획서 제출 안내 (기한 ~6.24.(월) 16시 마감),19.06.14,324,
[SW중심대학] 자료구조 특강 안내 (2019.6.19.(수)~6.21.(금) 18:00~22:00),19.06.12,200,
★ 2019년 1학기 우수 TA선발을 위한 설문 조사 안내 (설문조사 기한: ~2019.6.24.(월)까지),19.06.12,202,
[SW중심대학] 모각코 동아리 신청 안내,19.06.10,341,
[SW사업단] 미국 버지니아공대 정창희교수 초청강연 6월13일 목요일 11시 창의설계실,19.06.10,143,
[SW중심대학] 취업연계인턴 선발 - 쎄트렉아이(6월 11일까지 신청),19.06.05,225,
[SW중심대학] 4기 글로벌SW인재트랙 추가선발 - 최종합격자 공지,19.06.05,284,
[SW중심대학] 2019 4기 글로벌트랙 추가선발-1차합격자 명단 공지(6/4 화 면접),19.06.03,280,
